Zip Code,State,Country
92307,CA,United States
92308,CA,United States
92223,CA,United States
92316,CA,United States
92318,CA,United States
92230,CA,United States
92320,CA,United States
92234,CA,United States
92235,CA,United States
91708,CA,United States
91710,CA,United States
91709,CA,United States
92877,CA,United States
92878,CA,United States
92879,CA,United States
92881,CA,United States
92880,CA,United States
92883,CA,United States
92882,CA,United States
92239,CA,United States
92240,CA,United States
92258,CA,United States
92337,CA,United States
92336,CA,United States
92334,CA,United States
92335,CA,United States
92331,CA,United States
92313,CA,United States
92342,CA,United States
92545,CA,United States
92543,CA,United States
92546,CA,United States
92544,CA,United States
92340,CA,United States
92345,CA,United States
92344,CA,United States
92346,CA,United States
92548,CA,United States
92509,CA,United States
92532,CA,United States
92530,CA,United States
92531,CA,United States
92354,CA,United States
92350,CA,United States
92357,CA,United States
92518,CA,United States
92587,CA,United States
92586,CA,United States
92585,CA,United States
92584,CA,United States
92359,CA,United States
91752,CA,United States
91763,CA,United States
92562,CA,United States
92563,CA,United States
92564,CA,United States
92860,CA,United States
92567,CA,United States
91761,CA,United States
91764,CA,United States
91762,CA,United States
91743,CA,United States
91758,CA,United States
92261,CA,United States
92255,CA,United States
92260,CA,United States
92264,CA,United States
92262,CA,United States
92263,CA,United States
92570,CA,United States
92571,CA,United States
92572,CA,United States
92599,CA,United States
91737,CA,United States
91730,CA,United States
91701,CA,United States
91739,CA,United States
91729,CA,United States
92270,CA,United States
92374,CA,United States
92375,CA,United States
92373,CA,United States
92376,CA,United States
92377,CA,United States
92519,CA,United States
92407,CA,United States
92404,CA,United States
92405,CA,United States
92402,CA,United States
92403,CA,United States
92401,CA,United States
92406,CA,United States
92411,CA,United States
92413,CA,United States
92408,CA,United States
92410,CA,United States
92423,CA,United States
92427,CA,United States
92415,CA,United States
92418,CA,United States
92581,CA,United States
92583,CA,United States
92582,CA,United States
92591,CA,United States
92592,CA,United States
92593,CA,United States
92589,CA,United States
92590,CA,United States
91786,CA,United States
91784,CA,United States
91785,CA,United States
92395,CA,United States
92392,CA,United States
92393,CA,United States
92394,CA,United States
92282,CA,United States
92595,CA,United States
92596,CA,United States
92399,CA,United States
33572,FL,United States
34679,FL,United States
33786,FL,United States
34464,FL,United States
34465,FL,United States
34201,FL,United States
34202,FL,United States
34203,FL,United States
34204,FL,United States
34205,FL,United States
34206,FL,United States
34207,FL,United States
34208,FL,United States
34209,FL,United States
34210,FL,United States
34211,FL,United States
34212,FL,United States
33508,FL,United States
33509,FL,United States
33510,FL,United States
33511,FL,United States
33584,FL,United States
33728,FL,United States
33729,FL,United States
33740,FL,United States
