Asset Type,Text,Chars,Pin Suggestion
Headline,Free Local Solar Quotes,23,H1
Headline,Compare 3 Solar Quotes,22,H1
Headline,Solar Quotes in ~1 Minute,25,
Headline,Up to 3 Local Installers,24,
Headline,No Door-Knocks No Pressure,26,
Headline,$0-Down Solar Financing,23,
Headline,See Your Solar Savings,22,
Headline,Trusted Local Installers,24,
Headline,Get Matched in 24 Hours,23,
Headline,Free No-Obligation Quote,24,
Headline,How Much Can You Save?,22,
Headline,Solar Quotes for Your Home,26,
Headline,Compare & Save on Solar,23,
Headline,Shop Solar the Easy Way,23,
Headline,Quote Your Roof Online,22,
Description,Compare free quotes from up to 3 trusted local installers. No pressure no door-knocks.,86,D1
Description,Answer a few quick questions and see your solar savings in about a minute. It's free.,85,
Description,$0-down financing available if you qualify. Local installers reach out within 24 hours.,87,
Description,Skip the salesman at your door. Compare trusted local solar pros and pick what fits.,84,
